--- maximo 10000000
Caixa 1000 0.072550
Merge 1000 0.072550
Caixa 1500 0.069849
Merge 1500 0.069849
Caixa 2000 0.066586
Merge 2000 0.066586
Caixa 2500 0.063251
Merge 2500 0.063251
Caixa 3000 0.074916
Merge 3000 0.074916
Caixa 3500 0.073283
Merge 3500 0.073283
Caixa 4000 0.069240
Merge 4000 0.069240
Caixa 4500 0.059217
Merge 4500 0.059217
Caixa 5000 0.066079
Merge 5000 0.066079
Caixa 5500 0.075535
Merge 5500 0.075535
Caixa 6000 0.080710
Merge 6000 0.080710
Caixa 6500 0.076447
Merge 6500 0.076447
Caixa 7000 0.066792
Merge 7000 0.066792
Caixa 7500 0.064761
Merge 7500 0.064761
Caixa 8000 0.065683
Merge 8000 0.065683
Caixa 8500 0.065279
Merge 8500 0.065279
Caixa 9000 0.062350
Merge 9000 0.062350
Caixa 9500 0.062752
Merge 9500 0.062752
Caixa 10000 0.069695
Merge 10000 0.069695
Caixa 10500 0.061129
Merge 10500 0.061129
Caixa 11000 0.066694
Merge 11000 0.066694
Caixa 11500 0.065527
Merge 11500 0.065527
Caixa 12000 0.060451
Merge 12000 0.060451
Caixa 12500 0.061340
Merge 12500 0.061340
Caixa 13000 0.070222
Merge 13000 0.070222
Caixa 13500 0.065950
Merge 13500 0.065950
Caixa 14000 0.063158
Merge 14000 0.063158
Caixa 14500 0.061387
Merge 14500 0.061387
Caixa 15000 0.069284
Merge 15000 0.069284
Caixa 15500 0.070235
Merge 15500 0.070235
Caixa 16000 0.066896
Merge 16000 0.066896
Caixa 16500 0.058869
Merge 16500 0.058869
Caixa 17000 0.050456
Merge 17000 0.050456
Caixa 17500 0.064812
Merge 17500 0.064812
Caixa 18000 0.069218
Merge 18000 0.069218
Caixa 18500 0.062855
Merge 18500 0.062855
Caixa 19000 0.066263
Merge 19000 0.066263
Caixa 19500 0.061725
Merge 19500 0.061725
Caixa 20000 0.064634
Merge 20000 0.064634
Caixa 20500 0.066126
Merge 20500 0.066126
Caixa 21000 0.067356
Merge 21000 0.067356
Caixa 21500 0.059312
Merge 21500 0.059312
Caixa 22000 0.068456
Merge 22000 0.068456
Caixa 22500 0.062415
Merge 22500 0.062415
Caixa 23000 0.052879
Merge 23000 0.052879
Caixa 23500 0.064471
Merge 23500 0.064471
Caixa 24000 0.083535
Merge 24000 0.083535
Caixa 24500 0.067670
Merge 24500 0.067670
Caixa 25000 0.068916
Merge 25000 0.068916
Caixa 25500 0.062486
Merge 25500 0.062486
Caixa 26000 0.061563
Merge 26000 0.061563
Caixa 26500 0.057759
Merge 26500 0.057759
Caixa 27000 0.061835
Merge 27000 0.061835
Caixa 27500 0.069506
Merge 27500 0.069506
Caixa 28000 0.066391
Merge 28000 0.066391
Caixa 28500 0.066316
Merge 28500 0.066316
Caixa 29000 0.066009
Merge 29000 0.066009
Caixa 29500 0.062349
Merge 29500 0.062349
Caixa 30000 0.069915
Merge 30000 0.069915
Caixa 30500 0.070293
Merge 30500 0.070293
Caixa 31000 0.074374
Merge 31000 0.074374
Caixa 31500 0.076298
Merge 31500 0.076298
Caixa 32000 0.044052
Merge 32000 0.044052
Caixa 32500 0.075070
Merge 32500 0.075070
Caixa 33000 0.056895
Merge 33000 0.056895
Caixa 33500 0.066868
Merge 33500 0.066868
Caixa 34000 0.061249
Merge 34000 0.061249
Caixa 34500 0.065454
Merge 34500 0.065454
Caixa 35000 0.063127
Merge 35000 0.063127
Caixa 35500 0.067138
Merge 35500 0.067138
Caixa 36000 0.071046
Merge 36000 0.071046
Caixa 36500 0.062462
Merge 36500 0.062462
Caixa 37000 0.056580
Merge 37000 0.056580
Caixa 37500 0.061813
Merge 37500 0.061813
Caixa 38000 0.070881
Merge 38000 0.070881
Caixa 38500 0.056723
Merge 38500 0.056723
Caixa 39000 0.067416
Merge 39000 0.067416
Caixa 39500 0.070064
Merge 39500 0.070064
Caixa 40000 0.053882
Merge 40000 0.053882
Caixa 40500 0.069065
Merge 40500 0.069065
Caixa 41000 0.074587
Merge 41000 0.074587
Caixa 41500 0.071048
Merge 41500 0.071048
Caixa 42000 0.055267
Merge 42000 0.055267
Caixa 42500 0.058091
Merge 42500 0.058091
Caixa 43000 0.066502
Merge 43000 0.066502
Caixa 43500 0.069877
Merge 43500 0.069877
